CPU: ID 0x50654, Processor Type 0x0, Family 0x6, Model 0x55, Stepping 0x4
Northbridge: 8086:2020 (6th generation (Skylake family) Core Processor Xeon E (Server))
Southbridge: 8086:a1c1 (C621)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)
0x04d0: 0x0000003284000200 GPP_D2       GPIO                
0x04d8: 0x0000303382020102 GPP_D3       GPIO                
0x04e0: 0x0000003484000100 GPP_D4       GPIO                
0x04e8: 0x0000003544000100 GPP_D5       GPIO                
0x04f0: 0x0000003644000100 GPP_D6       GPIO                
0x04f8: 0x0000003744000100 GPP_D7       GPIO                
0x0500: 0x0000003844000100 GPP_D8       GPIO                
0x0508: 0x0000003944000102 GPP_D9       GPIO                
0x0510: 0x0000003a44000e00 GPP_D10      SSATA_DEVSLP4       
0x0518: 0x0000003b44000201 GPP_D11      GPIO                
0x0520: 0x0000003c44000e00 GPP_D12      SSATA_SDATAOUT1     
0x0528: 0x0000003d44000c02 GPP_D13      SML0BCLK_IE         
0x0530: 0x0000003e44000c02 GPP_D14      SML0BDATA_IE        
0x0538: 0x0000003f44000e00 GPP_D15      SSATA_SDATAOUT0     
0x0540: 0x0000004044000101 GPP_D16      GPIO                
0x0548: 0x0000004144000101 GPP_D17      GPIO                
0x0550: 0x0000004284000101 GPP_D18      GPIO                
0x0558: 0x0000004384000200 GPP_D19      GPIO                
0x0560: 0x0000004444000100 GPP_D20      GPIO                
0x0568: 0x0000004544000d00 GPP_D21      IE_UART_RX          
0x0570: 0x0000004644000e00 GPP_D22      IE_UART_TX          
0x0578: 0x0000004784000200 GPP_D23      GPIO                
------- GPIO Group GPP_E -------
0x0580: 0x0000004844000100 GPP_E0       GPIO                
0x0588: 0x0000004944000100 GPP_E1       GPIO                
0x0590: 0x0000004a44000100 GPP_E2       GPIO                
0x0598: 0x0000004b44000502 GPP_E3       CPU_GP0             
0x05a0: 0x0000004c44000102 GPP_E4       GPIO                
0x05a8: 0x0000004d44000100 GPP_E5       GPIO                
0x05b0: 0x0000004e44000100 GPP_E6       GPIO                
0x05b8: 0x0000004f44000100 GPP_E7       GPIO                
0x05c0: 0x0000005044000600 GPP_E8       SATA_LED#           
0x05c8: 0x0000005144000502 GPP_E9       USB_OC0#            
0x05d0: 0x0000005244000502 GPP_E10      USB_OC1#            
0x05d8: 0x0000005344000502 GPP_E11      USB_OC2#            
0x05e0: 0x0000005444000502 GPP_E12      USB_OC3#            
------- GPIO Community 2 -------

PCR Port ID: 0xad0000

-------- GPIO Group GPD --------
0x0400: 0xffffffffffffffff GPD0         RESERVED            
0x0408: 0x0000001904000502 GPD1         ACPRESENT           
0x0410: 0x0000001a04000502 GPD2         GBE_WAKE#           
0x0418: 0x0000001b04000502 GPD3         PWRBTN#             
0x0420: 0x0000001c04000600 GPD4         SLP_S3#             
0x0428: 0x0000001d04000600 GPD5         SLP_S4#             
0x0430: 0x0000001e04000600 GPD6         SLP_A#              
0x0438: 0x0000001f04000201 GPD7         GPIO                
0x0440: 0x0000002004000600 GPD8         SUSCLK              
0x0448: 0x0000002104000201 GPD9         GPIO                
0x0450: 0x0000002204000600 GPD10        SLP_S5#             
0x0458: 0x0000002304000600 GPD11        GBEPHY              
------- GPIO Community 3 -------

PCR Port ID: 0xac0000

------- GPIO Group GPP_I -------
0x0400: 0x0000001844000a00 GPP_I0       LAN_TDO             
0x0408: 0x0000001944000902 GPP_I1       LAN_TCK             
0x0410: 0x0000001a44000902 GPP_I2       LAN_TMS             
0x0418: 0x0000001b44000900 GPP_I3       LAN_TDI             
0x0420: 0x0000001c44000201 GPP_I4       GPIO                
0x0428: 0x0000001d44000201 GPP_I5       GPIO                
0x0430: 0x0000001e44000201 GPP_I6       GPIO                
0x0438: 0x0000001f44000900 GPP_I7       LAN_TRST_IN         
0x0440: 0x0000002044000102 GPP_I8       GPIO                
0x0448: 0x0000002144000102 GPP_I9       GPIO                
0x0450: 0x0000002244000100 GPP_I10      GPIO                
------- GPIO Community 4 -------

PCR Port ID: 0xab0000

------- GPIO Group GPP_J -------
0x0400: 0x0000001844000600 GPP_J0       LAN_LED_P0_0        
0x0408: 0x0000001944000600 GPP_J1       LAN_LED_P0_1        
0x0410: 0x0000001a44000600 GPP_J2       LAN_LED_P1_0        
0x0418: 0x0000001b44000600 GPP_J3       LAN_LED_P1_1        
0x0420: 0x0000001c44000600 GPP_J4       LAN_LED_P2_0        
0x0428: 0x0000001d44000600 GPP_J5       LAN_LED_P2_1        
0x0430: 0x0000001e44000600 GPP_J6       LAN_LED_P3_0        
0x0438: 0x0000001f44000600 GPP_J7       LAN_LED_P3_1        
0x0440: 0x0000002044000600 GPP_J8       LAN_I2C_SCL_MDC_P0  
0x0448: 0x0000002144000402 GPP_J9       LAN_I2C_SDA_MDIO_P0 
0x0450: 0x0000002244000602 GPP_J10      LAN_I2C_SCL_MDC_P1  
0x0458: 0x0000002344000400 GPP_J11      LAN_I2C_SDA_MDIO_P1 
0x0460: 0x0000002444000602 GPP_J12      LAN_I2C_SCL_MDC_P2  
0x0468: 0x0000002544000400 GPP_J13      LAN_I2C_SDA_MDIO_P2 
0x0470: 0x0000002644000602 GPP_J14      LAN_I2C_SCL_MDC_P3  
0x0478: 0x0000002744000402 GPP_J15      LAN_I2C_SDA_MDIO_P3 
0x0480: 0x0000002844000402 GPP_J16      LAN_SDP_P0_0        
0x0488: 0x0000002944000200 GPP_J17      GPIO                
0x0490: 0x0000002a44000402 GPP_J18      LAN_SDP_P1_0        
0x0498: 0x0000002b44000200 GPP_J19      GPIO                
0x04a0: 0x0000002c44000402 GPP_J20      LAN_SDP_P2_0        
0x04a8: 0x0000002d44000200 GPP_J21      GPIO                
0x04b0: 0x0000002e44000400 GPP_J22      LAN_SDP_P3_0        
0x04b8: 0x0000002f44000200 GPP_J23      GPIO                
------- GPIO Group GPP_K -------
0x04c0: 0x0000003044000400 GPP_K0       LAN_NCSI_CLK_IN     
0x04c8: 0x0000003144000600 GPP_K1       LAN_NCSI_TXD0       
0x04d0: 0x0000003244000600 GPP_K2       LAN_NCSI_TXD1       
0x04d8: 0x0000003344000600 GPP_K3       LAN_NCSI_TX_EN      
0x04e0: 0x0000003444000500 GPP_K4       LAN_NCSI_CRS_DV     
0x04e8: 0x0000003544000500 GPP_K5       LAN_NCSI_RXD0       
0x04f0: 0x0000003644000500 GPP_K6       LAN_NCSI_RXD1       
0x04f8: 0x0000003744000400 GPP_K7       RESERVED            
0x0500: 0x0000003844000500 GPP_K8       LAN_NCSI_ARB_IN     
0x0508: 0x0000003944000600 GPP_K9       LAN_NCSI_ARB_OUT    
0x0510: 0x0000003a44000502 GPP_K10      PE_RST#             
------- GPIO Community 5 -------

PCR Port ID: 0x110000

------- GPIO Group GPP_G -------
0x0400: 0x0000006d44000100 GPP_G0       GPIO                
0x0408: 0x0000006e44000100 GPP_G1       GPIO                
0x0410: 0x0000006f44000100 GPP_G2       GPIO                
0x0418: 0x0000007044000100 GPP_G3       GPIO                
0x0420: 0x0000007144000100 GPP_G4       GPIO                
0x0428: 0x0000007244000100 GPP_G5       GPIO                
0x0430: 0x0000007344000100 GPP_G6       GPIO                
0x0438: 0x0000007444000100 GPP_G7       GPIO                
0x0440: 0x0000007544000100 GPP_G8       GPIO                
0x0448: 0x0000007644000100 GPP_G9       GPIO                
0x0450: 0x0000007744000100 GPP_G10      GPIO                
0x0458: 0x0000002c44000100 GPP_G11      GPIO                
0x0460: 0x0000002d84000101 GPP_G12      GPIO                
0x0468: 0x0000002e84000101 GPP_G13      GPIO                
0x0470: 0x0000002f84000101 GPP_G14      GPIO                
0x0478: 0x0000003084000101 GPP_G15      GPIO                
0x0480: 0x0000003144000200 GPP_G16      GPIO                
0x0488: 0x0000003244000600 GPP_G17      ADR_COMPLETE        
0x0490: 0x0000003344000600 GPP_G18      NMI#                
0x0498: 0x0000003444000600 GPP_G19      SMI#                
0x04a0: 0x0000003544000300 GPP_G20      GPIO                
0x04a8: 0x0000003644000200 GPP_G21      GPIO                
0x04b0: 0x0000003744000300 GPP_G22      GPIO                
0x04b8: 0x0000003844000100 GPP_G23      GPIO                
------- GPIO Group GPP_H -------
0x04c0: 0x0000003944000102 GPP_H0       GPIO                
0x04c8: 0x0000003a44000300 GPP_H1       GPIO                
0x04d0: 0x0000003b44000100 GPP_H2       GPIO                
0x04d8: 0x0000003c44000100 GPP_H3       GPIO                
0x04e0: 0x0000003d44000100 GPP_H4       GPIO                
0x04e8: 0xffffffffffffffff GPP_H5       RESERVED            
0x04f0: 0x0000003f44000100 GPP_H6       GPIO                
0x04f8: 0x0000004044000100 GPP_H7       GPIO                
0x0500: 0x0000004144000100 GPP_H8       GPIO                
0x0508: 0x0000004244000102 GPP_H9       GPIO                
0x0510: 0xffffffffffffffff GPP_H10      RESERVED            
0x0518: 0xffffffffffffffff GPP_H11      RESERVED            
0x0520: 0x0000004544000100 GPP_H12      GPIO                
0x0528: 0xffffffffffffffff GPP_H13      RESERVED            
0x0530: 0xffffffffffffffff GPP_H14      RESERVED            
0x0538: 0x0000004884000102 GPP_H15      GPIO                
0x0540: 0xffffffffffffffff GPP_H16      RESERVED            
0x0548: 0xffffffffffffffff GPP_H17      RESERVED            
0x0550: 0x0000004b84000102 GPP_H18      GPIO                
0x0558: 0x0000004c84000100 GPP_H19      GPIO                
0x0560: 0x0000004d84000000 GPP_H20      GPIO                
0x0568: 0x0000004e84000000 GPP_H21      GPIO                
0x0570: 0x0000004f84000902 GPP_H22      SSATAXPCIE4         
0x0578: 0x0000005084000100 GPP_H23      GPIO                
------- GPIO Group GPP_L -------
0x0580: 0xffffffffffffffff GPP_L2       RESERVED            
0x0588: 0x0000001944000700 GPP_L3       TESTCH0_D1          
0x0590: 0x0000001a44000600 GPP_L4       TESTCH0_D2          
0x0598: 0x0000001b44000600 GPP_L5       TESTCH0_D3          
0x05a0: 0x0000001c44000600 GPP_L6       TESTCH0_D4          
0x05a8: 0x0000001d44000600 GPP_L7       TESTCH0_D5          
0x05b0: 0x0000001e44000600 GPP_L8       TESTCH0_D6          
0x05b8: 0x0000001f44000600 GPP_L9       TESTCH0_D7          
0x05c0: 0x0000002044000600 GPP_L10      TESTCH0_CLK         
0x05c8: 0x0000002144000600 GPP_L11      TESTCH1_D0          
0x05d0: 0x0000002244000600 GPP_L12      TESTCH1_D1          
0x05d8: 0x0000002344000600 GPP_L13      TESTCH1_D2          
0x05e0: 0x0000002444000600 GPP_L14      TESTCH1_D3          
0x05e8: 0x0000002544000600 GPP_L15      TESTCH1_D4          
0x05f0: 0x0000002644000600 GPP_L16      TESTCH1_D5          
0x05f8: 0x0000002744000600 GPP_L17      TESTCH1_D6          
0x0600: 0x0000002844000600 GPP_L18      TESTCH1_D7          
0x0608: 0x0000002944000600 GPP_L19      TESTCH1_CLK         


